	func_train_ct	run-1_vol	run-2_vol	run-3_vol	run-4_vol	func_rest_ct	resting	fmap_ct	anat_ct
sub-084	4	233	233	233	233	1	147	3	1
sub-085	4	233	233	233	233	1	147	3	1
sub-086	4	233	233	233	233	1	147	3	1
sub-087	4	233	233	233	233	1	147	3	1
sub-088	4	233	233	233	233	1	147	3	1
sub-089	4	233	233	233	233	1	147	3	1
sub-090	4	233	233	233	233	1	147	3	1
sub-091	4	233	233	233	233	1	147	2	1
sub-092	4	233	233	233	233	1	147	3	1
sub-093	4	233	233	233	233	1	147	3	1
sub-095	4	233	233	233	233	1	147	3	1
sub-096	4	233	233	233	233	1	147	3	1
sub-097	4	233	233	233	233	1	147	3	1
sub-098	4	233	233	233	233	1	147	3	1
sub-099	4	233	233	233	233	1	147	3	1
sub-100	4	233	233	233	233	1	147	3	1
sub-102	4	233	233	233	233	1	147	3	1
sub-103	4	233	233	233	233	1	147	3	1
sub-104	4	233	233	233	233	1	147	3	1
sub-107	4	233	233	233	233	1	147	3	1
sub-108	4	233	233	233	233	1	147	3	1
sub-109	4	233	233	233	233	1	147	3	1
sub-111	4	233	233	233	233	1	147	3	1
sub-112	4	233	233	233	233	1	147	3	1
sub-114	4	233	233	233	233	1	147	3	1
sub-115	4	233	233	233	233	1	147	3	1
sub-116	4	233	233	233	233	1	147	3	1
sub-117	4	233	233	233	233	1	147	3	1
sub-118	4	233	233	233	233	1	147	3	1
sub-119	4	233	233	233	233	1	147	3	1
sub-120	4	233	233	233	233	1	147	3	1
sub-121	4	233	233	233	233	1	147	3	1
sub-123	4	233	233	233	233	1	147	3	1
sub-124	4	233	233	233	233	1	147	3	1
sub-127	4	233	233	233	233	1	147	3	1
sub-129	4	233	233	233	233	1	147	3	1
sub-130	4	233	233	233	233	1	147	3	1
sub-131	4	233	233	233	233	1	147	3	1
sub-132	4	233	233	233	233	1	147	3	1
sub-133	4	233	233	233	233	1	147	3	1
sub-134	4	233	233	233	233	1	147	3	1
sub-135	4	233	233	233	233	1	147	3	1
sub-136	4	233	233	233	233	1	147	3	1
sub-137	4	233	233	233	233	1	147	3	1
sub-138	4	233	233	233	233	1	147	3	1
sub-140	4	233	233	233	233	1	147	3	1
sub-141	4	233	233	233	233	1	147	3	1
sub-142	4	233	233	233	233	1	147	3	1
sub-143	4	233	233	233	233	1	147	3	1
sub-144	4	233	233	233	233	1	147	3	1
sub-145	4	233	233	233	233	1	147	3	1
sub-146	3	233	233	233		1	147	3	1
sub-147	3	233	233	233		1	147	3	1
sub-148	4	233	233	233	233	1	147	3	1
sub-149	4	233	233	233	233	1	147	3	1
sub-150	4	233	233	233	233	1	147	3	1
sub-151	4	233	233	233	233	1	147	3	1
sub-152	4	233	233	233	233	1	147	3	1
sub-153	4	233	233	233	233	1	147	3	1
sub-154	4	233	233	233	233	1	147	1	1
sub-156	4	233	233	233	233	1	147	1	1
sub-157	4	233	233	233	233	1	147	3	1
sub-159	4	233	233	233	233	1	68	3	1
