	cope_ct	cope2_zstat_std	cope2_zstat_mean	cope3_zstat_std	cope3_zstat_mean	cope4_zstat_std	cope4_zstat_mean	cope5_zstat_std	cope5_zstat_mean	cope6_zstat_std	cope6_zstat_mean	cope7_zstat_std	cope7_zstat_mean	cope8_zstat_std	cope8_zstat_mean	cope9_zstat_std	cope9_zstat_mean	cope10_zstat_std	cope10_zstat_mean	cope11_zstat_std	cope11_zstat_mean	cope12_zstat_std	cope12_zstat_mean	cope13_zstat_std	cope13_zstat_mean	cope14_zstat_std	cope14_zstat_mean	cope15_zstat_std	cope15_zstat_mean	cope16_zstat_std	cope16_zstat_mean	cope17_zstat_std	cope17_zstat_mean	cope1_zstat_std	cope1_zstat_mean
sub-011	17	-0.037430	0.591357	-0.217294	0.671067	0.059844	0.593360	0.056602	0.575912	0.211682	0.669869	0.094831	0.528910	0.099966	0.556628	0.112263	0.562744	-0.079442	0.510113	-0.082338	0.530429	-0.093969	0.535873	0.200031	0.669780	-0.003205	0.463566	0.003205	0.463566	0.000931	0.460961	-0.000931	0.460961	-0.042623	0.593136
sub-012	17	-0.068439	0.554655	-0.058647	0.666987	0.001287	0.473906	0.069549	0.552126	0.047036	0.660421	0.041687	0.496029	-0.023450	0.549599	0.007633	0.530271	-0.037138	0.495475	0.033534	0.548398	0.000436	0.528369	0.036444	0.686107	0.078205	0.492907	-0.078205	0.492907	-0.083144	0.497997	0.083144	0.497997	-0.005086	0.478454
sub-013	17	-0.109571	0.582419	-0.169380	0.592741	0.019115	0.442883	0.118119	0.590285	0.165858	0.581160	0.100388	0.474830	0.030825	0.519166	0.073198	0.505531	-0.094994	0.467442	-0.021464	0.516394	-0.065131	0.498742	0.166228	0.593093	0.068846	0.456730	-0.068846	0.456730	-0.073279	0.461315	0.073279	0.461315	-0.014904	0.448386
sub-014	17	-0.009290	0.625398	-0.173909	0.666683	0.054376	0.613597	0.020902	0.606615	0.189012	0.685718	0.084915	0.598619	0.111413	0.602845	0.110801	0.635549	-0.086778	0.594066	-0.110640	0.594496	-0.111572	0.629565	0.175107	0.662329	-0.031227	0.438791	0.031227	0.438791	0.028002	0.433890	-0.028002	0.433890	-0.044949	0.634545
sub-015	17	0.043607	0.713568	-0.077744	0.648616	-0.111607	0.655570	-0.032048	0.722030	0.102109	0.683108	0.159783	0.598073	0.089822	0.556808	0.137347	0.592767	-0.168678	0.608561	-0.095928	0.560264	-0.146200	0.601590	0.104336	0.677298	0.081597	0.528743	-0.081597	0.528743	-0.083016	0.530435	0.083016	0.530435	0.118748	0.655186
sub-016	17	0.022144	0.566128	0.052363	0.652008	0.006173	0.549303	-0.029648	0.544733	-0.069183	0.634512	-0.034524	0.580499	-0.016952	0.546687	-0.028887	0.593323	0.041091	0.572433	0.023157	0.536098	0.036088	0.583360	-0.065736	0.652642	-0.030598	0.417277	0.030598	0.417277	0.030838	0.416621	-0.030838	0.416621	-0.011987	0.567251
sub-017	17	-0.097691	0.813423	-0.105252	0.487206	0.059298	0.846646	0.116493	0.789891	0.119054	0.486358	0.021823	0.714439	-0.017851	0.617059	0.002805	0.702346	-0.022841	0.694235	0.022408	0.600846	-0.000853	0.681955	0.114311	0.487951	0.038044	0.489658	-0.038044	0.489658	-0.044937	0.487837	0.044937	0.487837	-0.048427	0.883583
sub-018	17	-0.022238	0.480722	-0.045283	0.440079	0.004996	0.460080	0.019449	0.476923	0.036527	0.436085	0.024687	0.447132	0.003665	0.496062	0.014446	0.474483	-0.021234	0.446164	0.000420	0.497783	-0.010398	0.476132	0.042985	0.439809	0.024036	0.460735	-0.024036	0.460735	-0.023902	0.456885	0.023902	0.456885	-0.007617	0.463900
sub-019	17	0.060035	0.599286	-0.111016	0.656397	0.077222	0.559595	-0.062721	0.592753	0.112511	0.679488	0.016528	0.441643	0.135613	0.598861	0.082981	0.527277	-0.017269	0.429921	-0.138174	0.595680	-0.084885	0.518582	0.098787	0.658880	-0.127808	0.512031	0.127808	0.512031	0.128350	0.512784	-0.128350	0.512784	-0.077578	0.558180
sub-020	17	-0.027035	0.579333	-0.048242	0.591106	0.032360	0.516516	0.039764	0.562890	0.042771	0.583329	-0.004552	0.515286	0.001014	0.589407	-0.000353	0.583009	0.015666	0.510367	0.012092	0.580693	0.013892	0.575723	0.036091	0.596051	0.008447	0.436221	-0.008447	0.436221	-0.009913	0.434212	0.009913	0.434212	-0.022998	0.531752
sub-021	17	0.150567	0.596182	-0.051534	0.564909	-0.060128	0.503222	-0.133000	0.563259	0.082132	0.569160	0.099991	0.555070	0.154371	0.604279	0.139882	0.596670	-0.102257	0.549475	-0.158338	0.601752	-0.143792	0.592884	0.075166	0.585315	-0.060403	0.502644	0.060403	0.502644	0.061511	0.499618	-0.061511	0.499618	0.080391	0.519656
sub-022	17	0.121330	0.638648	0.007200	0.596116	-0.144811	0.666443	-0.115833	0.612735	-0.000490	0.572207	0.110520	0.532160	0.097572	0.516489	0.112419	0.533596	-0.111027	0.530001	-0.096399	0.512745	-0.112422	0.529646	-0.002374	0.579492	0.021097	0.468104	-0.021097	0.468104	-0.022203	0.470155	0.022203	0.470155	0.149199	0.698475
sub-023	17	0.006659	0.476871	0.027150	0.483307	0.030529	0.655893	0.008521	0.468180	-0.014749	0.473638	-0.030996	0.593021	-0.017275	0.429273	-0.028471	0.495581	0.030173	0.582891	0.021274	0.427819	0.030511	0.488568	-0.028194	0.485186	-0.022957	0.597383	0.022957	0.597383	0.017193	0.590868	-0.017193	0.590868	-0.022115	0.669811
sub-024	17	0.171498	0.581924	-0.006073	0.408733	-0.144761	0.557289	-0.162174	0.558764	0.016956	0.407104	0.141953	0.534701	0.142550	0.535685	0.159571	0.568497	-0.140675	0.531269	-0.143410	0.533668	-0.159551	0.565966	0.027855	0.418373	-0.012014	0.379577	0.012014	0.379577	0.014528	0.380534	-0.014528	0.380534	0.159361	0.585987
sub-025	17	-0.057762	0.495463	-0.126083	0.562427	-0.027083	0.443246	0.053423	0.474747	0.113583	0.547396	0.093780	0.463777	0.026102	0.460786	0.069670	0.459848	-0.091585	0.458009	-0.023349	0.460946	-0.067056	0.456284	0.111998	0.539899	0.077579	0.482722	-0.077579	0.482722	-0.076588	0.481604	0.076588	0.481604	0.022592	0.464748
sub-026	17	0.012101	0.576714	-0.127638	0.598904	0.012733	0.603478	0.003314	0.562168	0.136603	0.602102	0.078837	0.491772	0.085367	0.487255	0.091091	0.485214	-0.076666	0.489590	-0.078201	0.480783	-0.085939	0.478636	0.136771	0.603360	-0.011285	0.506083	0.011285	0.506083	0.005479	0.509014	-0.005479	0.509014	-0.003764	0.617663
sub-027	17	0.003356	0.633834	-0.023465	0.588006	0.017496	0.621755	0.005228	0.621190	0.031941	0.571569	0.020283	0.584436	0.011238	0.556825	0.017486	0.596705	-0.013561	0.577029	-0.008664	0.550675	-0.012368	0.589480	0.019528	0.585921	0.000987	0.457669	-0.000987	0.457669	0.004483	0.455657	-0.004483	0.455657	-0.001714	0.630824
sub-028	17	-0.043109	0.572089	-0.044123	0.558963	0.013540	0.577340	0.058525	0.569621	0.066341	0.550499	0.021855	0.484754	-0.011058	0.465957	0.007618	0.457532	-0.029929	0.483928	0.009515	0.468266	-0.012930	0.456293	0.058553	0.547087	0.033283	0.524968	-0.033283	0.524968	-0.039495	0.530953	0.039495	0.530953	-0.006600	0.601063
sub-030	17	0.009942	0.428502	-0.126435	0.563568	0.090024	0.488325	-0.014161	0.431924	0.112804	0.554595	0.006574	0.413067	0.081589	0.480954	0.047176	0.443966	0.000519	0.406739	-0.077768	0.474551	-0.041153	0.434731	0.123432	0.571096	-0.094196	0.472319	0.094196	0.472319	0.097789	0.477210	-0.097789	0.477210	-0.089640	0.479313
sub-031	17	-0.028981	0.676139	-0.102092	0.534159	-0.035442	0.630412	0.026226	0.674720	0.080707	0.525473	0.084069	0.537755	0.051237	0.546346	0.075883	0.561588	-0.081737	0.521968	-0.042238	0.530613	-0.069820	0.543217	0.072556	0.520902	0.034360	0.445009	-0.034360	0.445009	-0.041085	0.447399	0.041085	0.447399	0.023950	0.637598
sub-032	17	0.107909	0.608684	0.016948	0.676153	-0.037974	0.644267	-0.106038	0.614614	-0.008591	0.671820	0.012226	0.482158	0.080744	0.565160	0.053528	0.530670	-0.015808	0.482614	-0.083038	0.560168	-0.056891	0.528389	0.000312	0.674028	-0.070370	0.503167	0.070370	0.503167	0.068067	0.500156	-0.068067	0.500156	0.038654	0.623672
sub-033	17	0.028674	0.478867	-0.011558	0.466518	-0.052067	0.541639	-0.035595	0.479015	-0.005684	0.466676	0.035722	0.514805	0.028519	0.464011	0.036086	0.486472	-0.036347	0.511002	-0.024007	0.465477	-0.034029	0.485603	0.006336	0.467274	0.000533	0.497354	-0.000533	0.497354	-0.006395	0.492958	0.006395	0.492958	0.037928	0.557585
sub-034	17	-0.039474	0.828280	0.006798	0.527763	0.044589	0.868311	0.045570	0.830964	-0.004874	0.518858	-0.018907	0.649202	-0.020956	0.641504	-0.021389	0.680127	0.021742	0.647052	0.025281	0.643338	0.025389	0.680823	-0.011764	0.512778	0.003147	0.475135	-0.003147	0.475135	-0.004640	0.476310	0.004640	0.476310	-0.039843	0.868189
sub-035	17	-0.167393	0.650771	-0.021722	0.556880	0.046240	0.596009	0.183208	0.652015	0.021860	0.532003	-0.000959	0.578400	-0.096174	0.529010	-0.053556	0.550186	0.008674	0.571453	0.109210	0.534253	0.065249	0.547483	-0.000021	0.547534	0.109736	0.570557	-0.109736	0.570557	-0.114048	0.573910	0.114048	0.573910	-0.037157	0.619292
sub-036	17	-0.031389	0.541099	-0.182429	0.574113	-0.020687	0.466560	0.043942	0.523218	0.190103	0.577318	0.137010	0.508800	0.081294	0.489469	0.119860	0.504715	-0.134732	0.503924	-0.075069	0.480766	-0.115303	0.495309	0.182772	0.571841	0.055282	0.485107	-0.055282	0.485107	-0.058998	0.487919	0.058998	0.487919	0.029551	0.486311
sub-037	17	0.062057	0.524099	0.040632	0.627440	-0.092523	0.521194	-0.057520	0.511031	-0.028072	0.618592	0.054775	0.565651	0.016892	0.579855	0.039692	0.600109	-0.059241	0.556988	-0.020081	0.572186	-0.044069	0.591131	-0.018457	0.624759	0.040332	0.436852	-0.040332	0.436852	-0.041090	0.436957	0.041090	0.436957	0.095918	0.538186
sub-038	17	-0.029371	0.671477	-0.089911	0.607175	0.083997	0.696576	0.028095	0.650154	0.087690	0.604627	-0.012163	0.562435	0.028840	0.578832	0.008236	0.577605	0.015344	0.551860	-0.029284	0.571420	-0.006782	0.567682	0.080813	0.603694	-0.048035	0.543501	0.048035	0.543501	0.051599	0.539497	-0.051599	0.539497	-0.080537	0.720334
sub-039	17	0.019810	0.441242	0.021884	0.452956	0.017538	0.419662	-0.013416	0.445263	-0.015078	0.443904	-0.020634	0.434027	0.002830	0.471580	-0.006602	0.454490	0.020047	0.432279	-0.000489	0.469919	0.007550	0.452331	-0.013106	0.449302	-0.015803	0.448558	0.015803	0.448558	0.012289	0.449217	-0.012289	0.449217	-0.014184	0.417586
sub-040	17	0.015147	0.441814	0.087972	0.510976	0.045312	0.419173	-0.006543	0.439589	-0.076257	0.504417	-0.082949	0.468634	-0.046984	0.468060	-0.072213	0.474578	0.081047	0.465825	0.047030	0.465021	0.071415	0.471628	-0.077598	0.507179	-0.051939	0.448680	0.051939	0.448680	0.049431	0.446216	-0.049431	0.446216	-0.039565	0.416089
sub-041	17	0.008280	0.470916	0.055805	0.648563	-0.117830	0.552692	-0.006141	0.478601	-0.049313	0.654611	0.060276	0.533464	-0.021565	0.454989	0.020969	0.497335	-0.065417	0.531074	0.022272	0.455718	-0.023449	0.494961	-0.046666	0.643385	0.087313	0.478075	-0.087313	0.478075	-0.092719	0.484515	0.092719	0.484515	0.115914	0.555281
sub-043	17	-0.075939	0.603580	-0.037990	0.430781	-0.063324	0.545515	0.088706	0.593345	0.043472	0.430171	0.080855	0.547788	-0.036673	0.548049	0.026064	0.547156	-0.077154	0.521462	0.042797	0.538287	-0.020798	0.525960	0.035915	0.433607	0.119912	0.527200	-0.119912	0.527200	-0.121878	0.523390	0.121878	0.523390	0.073430	0.585846
sub-044	17	0.005835	0.570451	-0.128886	0.611473	0.046996	0.593065	0.003501	0.562076	0.133935	0.599322	0.049570	0.531365	0.074161	0.586506	0.067197	0.565201	-0.048627	0.528665	-0.070458	0.576471	-0.064678	0.558640	0.142889	0.614460	-0.039533	0.535344	0.039533	0.535344	0.036984	0.527983	-0.036984	0.527983	-0.040228	0.607656
sub-045	17	-0.055263	0.486620	-0.016342	0.592814	0.103486	0.534665	0.053248	0.485894	0.005305	0.588261	-0.076863	0.511828	-0.031304	0.507400	-0.056755	0.520179	0.083587	0.516024	0.037298	0.509442	0.064033	0.524162	-0.003915	0.604884	-0.054344	0.457778	0.054344	0.457778	0.055305	0.458973	-0.055305	0.458973	-0.103814	0.540359
sub-046	17	0.073894	0.579866	-0.076387	0.550960	-0.045607	0.601097	-0.085140	0.570769	0.061690	0.526750	0.066521	0.559252	0.103634	0.560911	0.095983	0.584173	-0.067854	0.551947	-0.105119	0.556744	-0.097801	0.578795	0.067913	0.542925	-0.041680	0.450338	0.041680	0.450338	0.041278	0.447118	-0.041278	0.447118	0.034002	0.628198
sub-048	0.0																																		
sub-050	17	-0.078691	0.637608	-0.203724	0.643394	0.064428	0.596907	0.097578	0.644922	0.206374	0.647091	0.075508	0.520138	0.063249	0.518597	0.075728	0.529817	-0.071388	0.514792	-0.053587	0.512332	-0.068344	0.523024	0.203930	0.645572	0.004602	0.460227	-0.004602	0.460227	-0.010269	0.459671	0.010269	0.459671	-0.049994	0.599249
sub-051	17	-0.015073	0.431018	-0.250841	0.754156	0.042697	0.514006	0.025441	0.438200	0.242361	0.731450	0.124105	0.566901	0.147921	0.565766	0.155104	0.594358	-0.116250	0.559505	-0.133873	0.543737	-0.142937	0.576124	0.248474	0.747979	-0.009698	0.465618	0.009698	0.465618	0.003340	0.468753	-0.003340	0.468753	-0.038785	0.500822
sub-053	17	-0.027413	0.561788	-0.013979	0.460103	-0.024843	0.427838	0.029768	0.568438	0.016706	0.467401	0.025551	0.450038	-0.003688	0.495973	0.014839	0.459036	-0.029838	0.456236	0.005354	0.493300	-0.016447	0.460553	0.015410	0.466975	0.035708	0.526016	-0.035708	0.526016	-0.041913	0.526648	0.041913	0.526648	0.020160	0.426940
