	anat	fmap	func	runs_rest	runs_train
sub-003	0	0	0	0	0
sub-008	0	0	0	0	0
sub-011	0	0	0	0	0
sub-031	0	0	0	0	0
sub-032	0	0	0	0	0
sub-095	0	0	0	0	0
sub-108	0	0	0	0	0
sub-109	0	0	0	0	0
sub-111	0	0	0	0	0
