	anat	fmap	func	runs_rest	runs_rl	runs_train
sub-010	1	7	7	0	2	5
sub-037	1	5	5	1	0	4
sub-094	1	6	6	0	2	4
sub-108	1	0	0	0	0	0
sub-118	1	0	0	0	0	0
sub-146	0	7	7	1	1	5
